production_line_id,mine_id,enterprise_id,production_line_name,production_process,product_types,design_capacity,capacity_unit,production_start_date,production_end_date,geometry,coordinate_file_url,updated_at
line_001,mine_001,ent_001,氯化钾一号生产线,浮选法,"[""氯化钾""]",100,万吨/年,2025-01-01,,,,2026-09-26T16:00:00+08:00
line_002,mine_001,ent_001,氯化钾二号生产线,反浮选冷结晶法,"[""氯化钾""]",80,万吨/年,2025-06-01,,,,2026-09-26T16:00:00+08:00
line_003,mine_001,ent_001,碳酸锂示范生产线,吸附提锂,"[""碳酸锂""]",5,万吨/年,2026-01-01,,,,2026-09-26T16:00:00+08:00
line_004,mine_002,ent_001,氯化镁生产线,浓缩结晶,"[""氯化镁""]",45,万吨/年,2024-07-01,,,,2026-09-26T16:00:00+08:00
line_005,mine_002,ent_001,硼酸生产线,酸化结晶,"[""硼酸""]",12,万吨/年,2025-03-01,,,,2026-09-26T16:00:00+08:00
line_006,mine_003,ent_002,碳酸锂一号生产线,膜分离提锂,"[""碳酸锂""]",4,万吨/年,2026-02-01,,,,2026-09-26T16:00:00+08:00
line_007,mine_003,ent_002,碳酸锂二号生产线,吸附提锂,"[""碳酸锂""]",6,万吨/年,2026-06-01,,,,2026-09-26T16:00:00+08:00
line_008,mine_004,ent_002,钾盐综合利用生产线,浮选结晶,"[""氯化钾"", ""硫酸钾""]",55,万吨/年,2023-05-01,,,,2026-09-26T16:00:00+08:00
line_009,mine_004,ent_002,卤水预处理生产线,卤水浓缩,"[""氯化钠""]",30,万吨/年,2023-08-01,,,,2026-09-26T16:00:00+08:00
line_010,mine_005,ent_003,锂盐中试生产线,吸附提锂,"[""碳酸锂""]",2,万吨/年,2026-04-01,,,,2026-09-26T16:00:00+08:00
line_011,mine_005,ent_003,氯化钾试生产线,浮选法,"[""氯化钾""]",20,万吨/年,2026-05-01,,,,2026-09-26T16:00:00+08:00
line_012,mine_006,ent_003,硼砂生产线,蒸发结晶,"[""硼砂""]",10,万吨/年,2026-08-01,,,,2026-09-26T16:00:00+08:00
line_013,mine_006,ent_003,氯化钠综合利用生产线,蒸发结晶,"[""氯化钠""]",18,万吨/年,2026-09-01,,,,2026-09-26T16:00:00+08:00
