record_id,report_id,object_type,object_id,object_name,enterprise_id,mine_id,year,report_type_code,report_type_name,status,due_date,submitted_at,is_overdue,files,uploaded_by,remark,updated_at
rec_mine_001_reserve_annual_report_2024,report_mine_001_reserve_annual_report,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,2024,reserve_annual_report,储量年报,overdue,2024-03-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_001_reserve_annual_report_2025,report_mine_001_reserve_annual_report,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,2025,reserve_annual_report,储量年报,submitted,2025-03-31,2025-03-24T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2025年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_001/2025/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_001_reserve_annual_report_2026,report_mine_001_reserve_annual_report,mine,mine_001,察尔汗一号盐湖矿山,ent_001,mine_001,2026,reserve_annual_report,储量年报,overdue,2026-03-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_002_reserve_annual_report_2024,report_mine_002_reserve_annual_report,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,2024,reserve_annual_report,储量年报,submitted,2024-03-31,2024-03-23T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2024年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_002/2024/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_002_reserve_annual_report_2025,report_mine_002_reserve_annual_report,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,2025,reserve_annual_report,储量年报,late_submitted,2025-03-31,2025-04-06T10:00:00+08:00,True,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2025年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_002/2025/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_002_reserve_annual_report_2026,report_mine_002_reserve_annual_report,mine,mine_002,察尔汗二号盐湖矿山,ent_001,mine_002,2026,reserve_annual_report,储量年报,submitted,2026-03-31,2026-03-23T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2026年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_002/2026/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_003_reserve_annual_report_2024,report_mine_003_reserve_annual_report,mine,mine_003,东台盐湖矿山,ent_002,mine_003,2024,reserve_annual_report,储量年报,submitted,2024-03-31,2024-03-22T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2024年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_003/2024/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_003_reserve_annual_report_2025,report_mine_003_reserve_annual_report,mine,mine_003,东台盐湖矿山,ent_002,mine_003,2025,reserve_annual_report,储量年报,submitted,2025-03-31,2025-03-22T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2025年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_003/2025/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_003_reserve_annual_report_2026,report_mine_003_reserve_annual_report,mine,mine_003,东台盐湖矿山,ent_002,mine_003,2026,reserve_annual_report,储量年报,late_submitted,2026-03-31,2026-04-07T10:00:00+08:00,True,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2026年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_003/2026/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_004_reserve_annual_report_2024,report_mine_004_reserve_annual_report,mine,mine_004,西台盐湖矿山,ent_002,mine_004,2024,reserve_annual_report,储量年报,late_submitted,2024-03-31,2024-04-08T10:00:00+08:00,True,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2024年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_004/2024/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
